rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,years,shows,average_gross,start_year,end_year
1.0,1,2,780000000.0,780000000.0,Taylor Swift,The Eras Tour,2023-2024,56,13928571.0,2023,2024
2.0,1,7,579800000.0,579800000.0,Beyonce,Renaissance World Tour,2023,56,10353571.0,2023,2023
3.0,1,2,411000000.0,560622615.0,Madonna,Sticky & Sweet Tour,2008-2009,85,4835294.0,2008,2009
4.0,2,10,397300000.0,454751555.0,Pink,Beautiful Trauma World Tour,2018-2019,156,2546795.0,2018,2019
5.0,2,,345675146.0,402844849.0,Taylor Swift,Reputation Stadium Tour,2018,53,6522173.0,2018,2018
6.0,2,10,305158363.0,388978496.0,Madonna,The MDNA Tour,2012,88,3467709.0,2012,2012
7.0,2,,280000000.0,381932682.0,Celine Dion,Taking Chances World Tour,2008-2009,131,2137405.0,2008,2009
7.0,,,257600000.0,257600000.0,Pink,Summer Carnival,2023-2024,41,6282927.0,2023,2024
9.0,,,256084556.0,312258401.0,Beyonce,The Formation World Tour,2016,49,5226215.0,2016,2016
10.0,,,250400000.0,309141878.0,Taylor Swift,The 1989 World Tour,2015,85,2945882.0,2015,2015
11.0,,,229100000.0,283202896.0,Beyonce,The Mrs. Carter Show World Tour,2013-2014,132,1735606.0,2013,2014
12.0,,14,227400000.0,295301479.0,Lady Gaga,The Monster Ball Tour,2009-2011,203,1118227.0,2009,2011
13.0,,,204000000.0,251856802.0,Katy Perry,Prismatic World Tour,2014-2015,151,1350993.0,2014,2015
14.0,1,,200000000.0,299676265.0,Cher,Living Proof: The Farewell Tour,2002-2005,325,615385.0,2002,2005
15.0,2,,194000000.0,281617035.0,Madonna,Confessions Tour,2006,60,3233333.0,2006,2006
16.0,,,184000000.0,227452347.0,Pink,The Truth About Love Tour,2013-2014,142,1295775.0,2013,2014
17.0,,,170000000.0,213568571.0,Lady Gaga,Born This Way Ball,2012-2013,98,1734694.0,2012,2013
18.0,,,169800000.0,207046755.0,Madonna,Rebel Heart Tour,2015-2016,82,2070732.0,2015,2016
19.0,,,167700000.0,204486106.0,Adele,Adele Live 2016,2016-2017,121,1385950.0,2016,2017
20.0,,,150000000.0,185423109.0,Taylor Swift,The Red Tour,2013-2014,86,1744186.0,2013,2014
